Neurons,Layers,Loss,Val Accuracy,Test Accuracy,Test Time
25,3,0.7329216829721968,0.7822705299957938,0.6804357711842518,0.587601900100708
50,3,0.35668162167218026,0.8585184877333434,0.7858492629417521,0.6331093311309814
75,3,0.19579690401522046,0.880274429269459,0.8172143547740204,0.6331100463867188
100,3,0.10408173257389396,0.8883248736029086,0.8310418847380885,0.6196074485778809
125,3,0.06133168488103341,0.8999162458855173,0.8441107608624642,0.6281089782714844
150,3,0.04434468558008047,0.9098088171171106,0.8546569497380035,0.6286087036132812
