Neurons,Layers,Loss,Val Accuracy,Test Accuracy,Test Time
25,3,0.7725111890247224,0.7869746697985608,0.6831970889836747,0.5851011276245117
50,3,0.4102765104589952,0.8673840631609377,0.7879121121981286,0.5966043472290039
75,3,0.2520151003138652,0.8902098912259807,0.8222329806018349,0.5731000900268555
100,3,0.14790521818953214,0.8961882383927054,0.8374632553549002,0.6021051406860352
125,3,0.09004162696433825,0.9000858664512634,0.8396228938702716,0.5876030921936035
150,3,0.05705642762587094,0.9084839600583782,0.8512765307300139,0.5996053218841553
