Data,Loss,Val Accuracy,Test Accuracy,Test Time
Full,0.0017836367798451686,0.9365238689857981,0.8875817609149099,4.331255197525024
Reduced,0.18516254849495106,0.023717472329735756,0.024135088634412022,4.750329256057739
