Layers,Neurons,Loss,Val Accuracy,Test Accuracy,Test Time
1,100,0.24815240356624854,0.8885199272114298,0.8205006237061608,0.564598798751831
2,100,0.18053979282711421,0.8938618159812429,0.8306846433127952,0.5741002559661865
3,100,0.14793870862218161,0.8963832920012267,0.8330512358652835,0.5986037254333496
4,100,0.13551772529746617,0.8969184510085894,0.8401527724518681,0.6141066551208496
5,100,0.12757057759428084,0.9010197546171106,0.839963241128732,0.625108003616333
